43.108.46.150:8443#🇰🇷 KR_1 [⚡️45ms | 362M]
45.77.180.114:443#🇯🇵 JP_1 [⚡️51ms | 362M]
38.55.107.91:443#🇭🇰 HK_1 [⚡️36ms | 361M]
45.142.127.22:443#🇯🇵 JP_2 [⚡️51ms | 359M]
5.34.220.80:443#🇯🇵 JP_3 [⚡️51ms | 346M]
45.8.173.217:443#🇯🇵 JP_4 [⚡️49ms | 300M]
139.180.220.7:443#🇸🇬 SG_1 [⚡️66ms | 273M]
139.180.135.10:443#🇸🇬 SG_2 [⚡️67ms | 266M]
45.32.123.157:8443#🇸🇬 SG_3 [⚡️66ms | 261M]
149.28.154.5:443#🇸🇬 SG_4 [⚡️66ms | 256M]
149.28.159.222:443#🇸🇬 SG_5 [⚡️67ms | 254M]
56.69.45.182:443#🇲🇾 MY_1 [⚡️75ms | 253M]
198.13.37.57:443#🇺🇸 US_1 [⚡️58ms | 248M]
207.148.70.252:443#🇸🇬 SG_6 [⚡️67ms | 247M]
149.118.144.163:443#🇲🇾 MY_2 [⚡️70ms | 236M]
207.148.77.84:8443#🇸🇬 SG_7 [⚡️66ms | 231M]
45.77.174.69:443#🇸🇬 SG_8 [⚡️67ms | 216M]
23.176.40.184:443#🇯🇵 JP_5 [⚡️50ms | 213M]
43.229.254.71:443#🌐 ID_1 [⚡️83ms | 213M]
15.232.155.235:443#🌐 ID_2 [⚡️84ms | 206M]
8.134.218.35:443#🇩🇪 DE_1 [⚡️28ms | 198M]
43.229.254.182:443#🌐 ID_3 [⚡️87ms | 196M]
110.10.178.240:443#🇰🇷 KR_2 [⚡️49ms | 195M]
95.188.72.67:443#🇷🇺 RU_1 [⚡️98ms | 184M]
47.83.139.13:8443#🇨🇳 CN_1 [⚡️90ms | 149M]
8.134.220.58:8443#🇨🇳 CN_2 [⚡️29ms | 140M]
82.22.26.141:2053#🇺🇸 US_2 [⚡️57ms | 124M]
