43.175.131.30:443#🇭🇰 HK_1 [⚡️33ms | 583M]
45.192.200.205:443#🇯🇵 JP_1 [⚡️51ms | 376M]
156.154.245.83:443#🌐 AE_1 [⚡️57ms | 320M]
167.179.113.206:443#🇯🇵 JP_2 [⚡️52ms | 315M]
85.149.218.31:443#🇯🇵 JP_3 [⚡️52ms | 304M]
104.156.239.15:443#🇯🇵 JP_4 [⚡️53ms | 270M]
104.238.161.103:443#🇯🇵 JP_5 [⚡️52ms | 265M]
167.179.90.137:443#🇯🇵 JP_6 [⚡️53ms | 255M]
54.169.57.101:8443#🇸🇬 SG_1 [⚡️75ms | 250M]
198.13.37.57:443#🇺🇸 US_1 [⚡️60ms | 246M]
46.137.229.208:443#🇸🇬 SG_2 [⚡️67ms | 240M]
3.1.187.169:443#🇸🇬 SG_3 [⚡️69ms | 232M]
54.255.175.251:8443#🇸🇬 SG_4 [⚡️74ms | 197M]
52.221.53.171:443#🇸🇬 SG_5 [⚡️67ms | 182M]
47.80.57.116:443#🇰🇷 KR_1 [⚡️47ms | 149M]
54.254.247.156:443#🇸🇬 SG_6 [⚡️75ms | 143M]
8.134.220.58:8443#🇨🇳 CN_1 [⚡️32ms | 117M]
